Samples:,week 1,week 1,week 1,week 1,week 1 ,week 1 ,week 1,week 1,week 2 ,week 2 ,week 2 ,week 2 ,week 2 ,week 2 ,week 2 ,week 2 ,week 3 ,week 3 ,week 3 ,week 3 ,week 3 ,week 3 ,week 3 ,week 3 ,week 4 ,week 4 ,week 4 ,week 4 ,week 4 ,week 4 ,week 4 ,week 4 ,week 4 ,week 5 ,week 5 ,week 5 ,week 5 ,week 5 ,week 5 ,week 5 ,week 5 ,week 5 ,week 5 ,week 6 ,week 6 ,week 6 ,week 6 ,week 6 ,week 6 ,week 6 ,week 6 ,week 6 ,week 6 ,week 7 ,week 7 ,week 7 ,week 7 ,week 7 ,week 7 ,week 7 ,week 7 ,week 7 ,week 7 
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,84,0,0,50,65,0,57,87,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,63,0,0,0,0,0
53,0,0,81,0,52,0,57,0,0,92,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,214,0,0,0,0,0,0,230,0,0,0,0,0,133,0,0,159,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,177,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,283,0,0,194,0,0,202,321,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0
70,0,0,285,0,204,0,0,0,0,306,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
